best_classical_backend,graph_family,memory_lower_than_classical,n_qubits,neural_latency_budget_ms,neural_peak_memory_budget_mib,p,shots,speedup,speedup_ge_10x,speedup_ge_2x,speedup_ge_5x
statevector,cycle,False,10,25,2048,3,4096,1.01500916,False,False,False
statevector,cycle,False,10,25,4096,3,4096,1.01500916,False,False,False
statevector,cycle,True,10,50,256,3,4096,0.50750458,False,False,False
statevector,cycle,False,10,50,512,3,4096,0.50750458,False,False,False
statevector,cycle,False,10,50,1024,3,4096,0.50750458,False,False,False
statevector,cycle,False,10,50,2048,3,4096,0.50750458,False,False,False
statevector,cycle,False,10,50,4096,3,4096,0.50750458,False,False,False
statevector,cycle,True,10,100,256,3,4096,0.25375229,False,False,False
statevector,cycle,False,10,100,512,3,4096,0.25375229,False,False,False
statevector,cycle,False,10,100,1024,3,4096,0.25375229,False,False,False
statevector,cycle,False,10,100,2048,3,4096,0.25375229,False,False,False
statevector,cycle,False,10,100,4096,3,4096,0.25375229,False,False,False
statevector,cycle,True,10,250,256,3,4096,0.10150091600000001,False,False,False
statevector,cycle,False,10,250,512,3,4096,0.10150091600000001,False,False,False
statevector,cycle,False,10,250,1024,3,4096,0.10150091600000001,False,False,False
statevector,cycle,False,10,250,2048,3,4096,0.10150091600000001,False,False,False
statevector,cycle,False,10,250,4096,3,4096,0.10150091600000001,False,False,False
statevector,cycle,True,10,500,256,3,4096,0.050750458000000005,False,False,False
statevector,cycle,False,10,500,512,3,4096,0.050750458000000005,False,False,False
statevector,cycle,False,10,500,1024,3,4096,0.050750458000000005,False,False,False
statevector,cycle,False,10,500,2048,3,4096,0.050750458000000005,False,False,False
statevector,cycle,False,10,500,4096,3,4096,0.050750458000000005,False,False,False
statevector,cycle,True,12,10,256,1,4096,2.5186978,False,True,False
statevector,cycle,False,12,10,512,1,4096,2.5186978,False,True,False
statevector,cycle,False,12,10,1024,1,4096,2.5186978,False,True,False
statevector,cycle,False,12,10,2048,1,4096,2.5186978,False,True,False
statevector,cycle,False,12,10,4096,1,4096,2.5186978,False,True,False
statevector,cycle,True,12,25,256,1,4096,1.00747912,False,False,False
statevector,cycle,False,12,25,512,1,4096,1.00747912,False,False,False
statevector,cycle,False,12,25,1024,1,4096,1.00747912,False,False,False
statevector,cycle,False,12,25,2048,1,4096,1.00747912,False,False,False
statevector,cycle,False,12,25,4096,1,4096,1.00747912,False,False,False
statevector,cycle,True,12,50,256,1,4096,0.50373956,False,False,False
statevector,cycle,False,12,50,512,1,4096,0.50373956,False,False,False
statevector,cycle,False,12,50,1024,1,4096,0.50373956,False,False,False
statevector,cycle,False,12,50,2048,1,4096,0.50373956,False,False,False
statevector,cycle,False,12,50,4096,1,4096,0.50373956,False,False,False
statevector,cycle,True,12,100,256,1,4096,0.25186978,False,False,False
statevector,cycle,False,12,100,512,1,4096,0.25186978,False,False,False
statevector,cycle,False,12,100,1024,1,4096,0.25186978,False,False,False
statevector,cycle,False,12,100,2048,1,4096,0.25186978,False,False,False
statevector,cycle,False,12,100,4096,1,4096,0.25186978,False,False,False
statevector,cycle,True,12,250,256,1,4096,0.100747912,False,False,False
statevector,cycle,False,12,250,512,1,4096,0.100747912,False,False,False
statevector,cycle,False,12,250,1024,1,4096,0.100747912,False,False,False
statevector,cycle,False,12,250,2048,1,4096,0.100747912,False,False,False
statevector,cycle,False,12,250,4096,1,4096,0.100747912,False,False,False
statevector,cycle,True,12,500,256,1,4096,0.050373956,False,False,False
statevector,cycle,False,12,500,512,1,4096,0.050373956,False,False,False
statevector,cycle,False,12,500,1024,1,4096,0.050373956,False,False,False
statevector,cycle,False,12,500,2048,1,4096,0.050373956,False,False,False
statevector,cycle,False,12,500,4096,1,4096,0.050373956,False,False,False
statevector,cycle,True,12,10,256,2,4096,2.63513545,False,True,False
statevector,cycle,False,12,10,512,2,4096,2.63513545,False,True,False
statevector,cycle,False,12,10,1024,2,4096,2.63513545,False,True,False
statevector,cycle,False,12,10,2048,2,4096,2.63513545,False,True,False
statevector,cycle,False,12,10,4096,2,4096,2.63513545,False,True,False
statevector,cycle,True,12,25,256,2,4096,1.05405418,False,False,False
statevector,cycle,False,12,25,512,2,4096,1.05405418,False,False,False
statevector,cycle,False,12,25,1024,2,4096,1.05405418,False,False,False
statevector,cycle,False,12,25,2048,2,4096,1.05405418,False,False,False
statevector,cycle,False,12,25,4096,2,4096,1.05405418,False,False,False
statevector,cycle,True,12,50,256,2,4096,0.52702709,False,False,False
statevector,cycle,False,12,50,512,2,4096,0.52702709,False,False,False
statevector,cycle,False,12,50,1024,2,4096,0.52702709,False,False,False
statevector,cycle,False,12,50,2048,2,4096,0.52702709,False,False,False
statevector,cycle,False,12,50,4096,2,4096,0.52702709,False,False,False
statevector,cycle,True,12,100,256,2,4096,0.263513545,False,False,False
statevector,cycle,False,12,100,512,2,4096,0.263513545,False,False,False
statevector,cycle,False,12,100,1024,2,4096,0.263513545,False,False,False
statevector,cycle,False,12,100,2048,2,4096,0.263513545,False,False,False
statevector,cycle,False,12,100,4096,2,4096,0.263513545,False,False,False
statevector,cycle,True,12,250,256,2,4096,0.105405418,False,False,False
statevector,cycle,False,12,250,512,2,4096,0.105405418,False,False,False
statevector,cycle,False,12,250,1024,2,4096,0.105405418,False,False,False
statevector,cycle,False,12,250,2048,2,4096,0.105405418,False,False,False
statevector,cycle,False,12,250,4096,2,4096,0.105405418,False,False,False
statevector,cycle,True,12,500,256,2,4096,0.052702709,False,False,False
statevector,cycle,False,12,500,512,2,4096,0.052702709,False,False,False
statevector,cycle,False,12,500,1024,2,4096,0.052702709,False,False,False
statevector,cycle,False,12,500,2048,2,4096,0.052702709,False,False,False
statevector,cycle,False,12,500,4096,2,4096,0.052702709,False,False,False
statevector,cycle,True,12,10,256,3,4096,2.7306542,False,True,False
statevector,cycle,False,12,10,512,3,4096,2.7306542,False,True,False
statevector,cycle,False,12,10,1024,3,4096,2.7306542,False,True,False
statevector,cycle,False,12,10,2048,3,4096,2.7306542,False,True,False
statevector,cycle,False,12,10,4096,3,4096,2.7306542,False,True,False
statevector,cycle,True,12,25,256,3,4096,1.09226168,False,False,False
statevector,cycle,False,12,25,512,3,4096,1.09226168,False,False,False
statevector,cycle,False,12,25,1024,3,4096,1.09226168,False,False,False
statevector,cycle,False,12,25,2048,3,4096,1.09226168,False,False,False
statevector,cycle,False,12,25,4096,3,4096,1.09226168,False,False,False
statevector,cycle,True,12,50,256,3,4096,0.54613084,False,False,False
statevector,cycle,False,12,50,512,3,4096,0.54613084,False,False,False
statevector,cycle,False,12,50,1024,3,4096,0.54613084,False,False,False
statevector,cycle,False,12,50,2048,3,4096,0.54613084,False,False,False
statevector,cycle,False,12,50,4096,3,4096,0.54613084,False,False,False
statevector,cycle,True,12,100,256,3,4096,0.27306542,False,False,False
statevector,cycle,False,12,100,512,3,4096,0.27306542,False,False,False
statevector,cycle,False,12,100,1024,3,4096,0.27306542,False,False,False
statevector,cycle,False,12,100,2048,3,4096,0.27306542,False,False,False
statevector,cycle,False,12,100,4096,3,4096,0.27306542,False,False,False
statevector,cycle,True,12,250,256,3,4096,0.109226168,False,False,False
statevector,cycle,False,12,250,512,3,4096,0.109226168,False,False,False
statevector,cycle,False,12,250,1024,3,4096,0.109226168,False,False,False
statevector,cycle,False,12,250,2048,3,4096,0.109226168,False,False,False
statevector,cycle,False,12,250,4096,3,4096,0.109226168,False,False,False
statevector,cycle,True,12,500,256,3,4096,0.054613084,False,False,False
statevector,cycle,False,12,500,512,3,4096,0.054613084,False,False,False
statevector,cycle,False,12,500,1024,3,4096,0.054613084,False,False,False
statevector,cycle,False,12,500,2048,3,4096,0.054613084,False,False,False
statevector,cycle,False,12,500,4096,3,4096,0.054613084,False,False,False
statevector,cycle,True,14,10,256,1,4096,2.72632285,False,True,False
statevector,cycle,False,14,10,512,1,4096,2.72632285,False,True,False
statevector,cycle,False,14,10,1024,1,4096,2.72632285,False,True,False
statevector,cycle,False,14,10,2048,1,4096,2.72632285,False,True,False
statevector,cycle,False,14,10,4096,1,4096,2.72632285,False,True,False
statevector,cycle,True,14,25,256,1,4096,1.0905291400000001,False,False,False
statevector,cycle,False,14,25,512,1,4096,1.0905291400000001,False,False,False
statevector,cycle,False,14,25,1024,1,4096,1.0905291400000001,False,False,False
statevector,cycle,False,14,25,2048,1,4096,1.0905291400000001,False,False,False
statevector,cycle,False,14,25,4096,1,4096,1.0905291400000001,False,False,False
statevector,cycle,True,14,50,256,1,4096,0.5452645700000001,False,False,False
statevector,cycle,False,14,50,512,1,4096,0.5452645700000001,False,False,False
statevector,cycle,False,14,50,1024,1,4096,0.5452645700000001,False,False,False
statevector,cycle,False,14,50,2048,1,4096,0.5452645700000001,False,False,False
statevector,cycle,False,14,50,4096,1,4096,0.5452645700000001,False,False,False
statevector,cycle,True,14,100,256,1,4096,0.27263228500000003,False,False,False
statevector,cycle,False,14,100,512,1,4096,0.27263228500000003,False,False,False
statevector,cycle,False,14,100,1024,1,4096,0.27263228500000003,False,False,False
statevector,cycle,False,14,100,2048,1,4096,0.27263228500000003,False,False,False
statevector,cycle,False,14,100,4096,1,4096,0.27263228500000003,False,False,False
statevector,cycle,True,14,250,256,1,4096,0.109052914,False,False,False
statevector,cycle,False,14,250,512,1,4096,0.109052914,False,False,False
statevector,cycle,False,14,250,1024,1,4096,0.109052914,False,False,False
statevector,cycle,False,14,250,2048,1,4096,0.109052914,False,False,False
statevector,cycle,False,14,250,4096,1,4096,0.109052914,False,False,False
statevector,cycle,True,14,500,256,1,4096,0.054526457,False,False,False
statevector,cycle,False,14,500,512,1,4096,0.054526457,False,False,False
statevector,cycle,False,14,500,1024,1,4096,0.054526457,False,False,False
statevector,cycle,False,14,500,2048,1,4096,0.054526457,False,False,False
statevector,cycle,False,14,500,4096,1,4096,0.054526457,False,False,False
statevector,cycle,True,14,10,256,2,4096,2.8840458,False,True,False
statevector,cycle,False,14,10,512,2,4096,2.8840458,False,True,False
